date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:54:35	46545/46545	---MC-	200	added ('OK')	text/html	date:Thu,%2002%20Jan%202020%2000:54:35%20GMT	http://localhost/qtsc_starter1/	C:/Users/ASUS/Desktop/qtsc/template_html1/qtscstarter/localhost/qtsc_starter1/index.html	(from )
07:54:35	1054/1054	---MC-	404	error ('Not%20Found')	text/html	date:Thu,%2002%20Jan%202020%2000:54:34%20GMT	http://localhost/robots.txt		(from )
07:54:35	1150/1150	---M--	200	added ('OK')	image/x-icon	etag:%2247e-58870d1230080%22	http://localhost/qtsc_starter1/templates/shaper_helixultimate/images/favicon.ico	C:/Users/ASUS/Desktop/qtsc/template_html1/qtscstarter/localhost/qtsc_starter1/templates/shaper_helixultimate/images/favicon.ico	(from http://localhost/qtsc_starter1/)
07:54:36	30961/30961	---M--	200	added ('OK')	text/css	etag:%2278f1-588486d0acb00%22	http://localhost/qtsc_starter1/components/com_sppagebuilder/assets/css/font-awesome.min.css	C:/Users/ASUS/Desktop/qtsc/template_html1/qtscstarter/localhost/qtsc_starter1/components/com_sppagebuilder/assets/css/font-awesome.min.css	(from http://localhost/qtsc_starter1/)
07:54:36	53431/53431	---M--	200	added ('OK')	text/css	etag:%22d0b7-588486d0acb00%22	http://localhost/qtsc_starter1/components/com_sppagebuilder/assets/css/animate.min.css	C:/Users/ASUS/Desktop/qtsc/template_html1/qtscstarter/localhost/qtsc_starter1/components/com_sppagebuilder/assets/css/animate.min.css	(from http://localhost/qtsc_starter1/)
07:54:37	112395/112395	---M--	200	added ('OK')	text/css	etag:%221b70b-588486d0acb00%22	http://localhost/qtsc_starter1/components/com_sppagebuilder/assets/css/sppagebuilder.css	C:/Users/ASUS/Desktop/qtsc/template_html1/qtscstarter/localhost/qtsc_starter1/components/com_sppagebuilder/assets/css/sppagebuilder.css	(from http://localhost/qtsc_starter1/)
07:54:39	268/268	---M--	200	added ('OK')	text/css	etag:%2210c-588486d0acb00%22	http://localhost/qtsc_starter1/components/com_sppagebuilder/assets/css/sppagecontainer.css	C:/Users/ASUS/Desktop/qtsc/template_html1/qtscstarter/localhost/qtsc_starter1/components/com_sppagebuilder/assets/css/sppagecontainer.css	(from http://localhost/qtsc_starter1/)
07:54:39	5920/5920	---M--	200	added ('OK')	text/css	etag:%221720-588486d0acb00%22	http://localhost/qtsc_starter1/components/com_sppagebuilder/assets/css/magnific-popup.css	C:/Users/ASUS/Desktop/qtsc/template_html1/qtscstarter/localhost/qtsc_starter1/components/com_sppagebuilder/assets/css/magnific-popup.css	(from http://localhost/qtsc_starter1/)
07:54:39	140375/140375	---M--	200	added ('OK')	text/css	etag:%2222457-58870d1230080%22	http://localhost/qtsc_starter1/templates/shaper_helixultimate/css/bootstrap.min.css	C:/Users/ASUS/Desktop/qtsc/template_html1/qtscstarter/localhost/qtsc_starter1/templates/shaper_helixultimate/css/bootstrap.min.css	(from http://localhost/qtsc_starter1/)
07:54:41	31000/31000	---M--	200	added ('OK')	text/css	etag:%227918-58870d1230080%22	http://localhost/qtsc_starter1/templates/shaper_helixultimate/css/font-awesome.min.css	C:/Users/ASUS/Desktop/qtsc/template_html1/qtscstarter/localhost/qtsc_starter1/templates/shaper_helixultimate/css/font-awesome.min.css	(from http://localhost/qtsc_starter1/)
07:54:42	40945/40945	---M--	200	added ('OK')	text/css	etag:%229ff1-59b18aa867b62%22	http://localhost/qtsc_starter1/templates/shaper_helixultimate/css/template.css	C:/Users/ASUS/Desktop/qtsc/template_html1/qtscstarter/localhost/qtsc_starter1/templates/shaper_helixultimate/css/template.css	(from http://localhost/qtsc_starter1/)
07:54:44	4231/4231	---M--	200	added ('OK')	text/css	etag:%221087-59b18aa87753c%22	http://localhost/qtsc_starter1/templates/shaper_helixultimate/css/presets/default.css	C:/Users/ASUS/Desktop/qtsc/template_html1/qtscstarter/localhost/qtsc_starter1/templates/shaper_helixultimate/css/presets/default.css	(from http://localhost/qtsc_starter1/)
07:54:44	19895/19895	---M--	200	added ('OK')	text/css	etag:%224db7-5884868832000%22	http://localhost/qtsc_starter1/components/com_speasyimagegallery/assets/css/style-min.css	C:/Users/ASUS/Desktop/qtsc/template_html1/qtscstarter/localhost/qtsc_starter1/components/com_speasyimagegallery/assets/css/style-min.css	(from http://localhost/qtsc_starter1/)
07:54:45	21/21	---M--	200	added ('OK')	application/javascript	etag:%2215-5883edcb8c600%22	http://localhost/qtsc_starter1/media/jui/js/jquery-noconflict.js?3be9fae1975cb97c52dd0aa103a7aca6	C:/Users/ASUS/Desktop/qtsc/template_html1/qtscstarter/localhost/qtsc_starter1/media/jui/js/jquery-noconflictf861.js	(from http://localhost/qtsc_starter1/)
